close,high,low,open,year,day
96750.86,97541.6,96600.0,97277.32,2025,7
96451.98,97200.01,96323.67,96750.86,2025,7
96533.35,96870.52,96181.81,96451.99,2025,7
96501.22,97094.19,96400.0,96533.34,2025,7
97164.0,97220.76,96412.0,96501.23,2025,7
96954.61,97169.65,96800.8,97163.99,2025,7
97268.49,97268.65,96707.77,96954.6,2025,8
96907.15,97268.5,96608.14,97268.49,2025,8
96878.14,97181.82,96778.57,96907.16,2025,8
96525.2,96878.14,96216.83,96878.14,2025,8
96274.81,96634.58,96057.48,96525.2,2025,8
96492.01,96654.61,96102.94,96274.8,2025,8
95284.31,96636.37,95259.3,96492.01,2025,8
95657.09,95815.52,95250.76,95284.31,2025,8
95945.99,96132.47,95528.56,95657.09,2025,8
95432.82,96098.1,95412.0,95946.0,2025,8
95961.02,96000.0,95432.43,95432.83,2025,8
95134.92,96052.0,94543.86,95961.03,2025,8
94888.01,95376.56,94852.23,95134.92,2025,8
95384.0,95679.69,94888.0,94888.01,2025,8
95288.01,95865.71,94888.88,95384.01,2025,8
95493.77,96079.32,94624.43,95288.0,2025,8
94787.87,95555.25,94556.21,95493.77,2025,8
94030.82,94847.99,92500.9,94787.87,2025,8
94242.61,95106.33,93753.99,94030.81,2025,8
94243.89,94859.54,94053.82,94242.62,2025,8
93980.0,94404.0,93755.48,94243.89,2025,8
94468.97,94596.0,93600.0,93982.01,2025,8
95290.93,95290.99,94460.86,94468.97,2025,8
95060.61,95310.94,94900.0,95290.93,2025,8
95135.3,95150.0,94809.07,95060.61,2025,9
94983.82,95382.32,94966.66,95135.3,2025,9
94776.99,95030.31,93422.89,94983.82,2025,9
94027.9,94800.69,94017.93,94777.0,2025,9
94424.24,94487.74,93796.99,94027.91,2025,9
94472.58,94566.64,94280.65,94424.24,2025,9
94095.03,94618.63,94048.07,94472.59,2025,9
93221.59,94299.22,93186.38,94095.04,2025,9
93030.87,93400.98,92750.0,93221.59,2025,9
93516.62,93787.75,92970.96,93030.88,2025,9
93462.43,93660.0,93016.55,93516.63,2025,9
93465.23,93877.46,93224.0,93462.43,2025,9
93421.94,93696.97,93155.25,93465.23,2025,9
91986.42,93486.19,91900.12,93421.94,2025,9
92863.8,92900.0,91800.0,91986.41,2025,9
94244.02,94588.23,92671.67,92863.81,2025,9
94250.95,94685.25,93846.15,94244.02,2025,9
92693.11,94293.96,92325.0,94250.96,2025,9
93020.11,93239.51,92403.77,92693.11,2025,9
91909.59,93291.96,91900.01,93020.1,2025,9
91903.22,92371.32,91203.67,91909.59,2025,9
92108.84,92497.66,91781.09,91903.21,2025,9
92456.32,92720.67,91624.0,92108.84,2025,9
92552.49,92689.38,92034.55,92456.32,2025,9
92775.84,92850.0,92431.73,92552.49,2025,10
93102.52,93159.16,92590.33,92775.85,2025,10
93364.36,93726.87,93033.5,93102.52,2025,10
93696.13,93727.83,93312.58,93364.36,2025,10
93837.69,93908.85,93500.0,93696.13,2025,10
93956.83,94250.07,93642.85,93837.69,2025,10
94252.83,94319.0,93733.83,93956.83,2025,10
94492.63,95000.0,94070.0,94252.83,2025,10
94680.01,94766.12,94388.5,94492.62,2025,10
94793.08,95000.55,94582.03,94680.0,2025,10
95215.73,95293.4,94757.57,94793.07,2025,10
95073.95,95267.16,94600.49,95215.73,2025,10
95023.44,95117.26,94702.49,95073.95,2025,10
93557.23,95046.0,92715.85,95023.44,2025,10
94115.63,94680.76,93379.93,93557.23,2025,10
93730.92,94524.0,92206.02,94115.62,2025,10
93645.05,94062.94,93177.4,93730.93,2025,10
95793.05,95836.0,93318.07,93645.06,2025,10
94861.62,95793.04,94581.87,95793.04,2025,10
95327.06,95386.74,94373.85,94861.62,2025,10
94672.05,95442.15,94586.02,95327.07,2025,10
94613.26,94923.05,94603.72,94669.06,2025,10
94767.7,94955.54,94586.03,94613.26,2025,10
94726.11,94894.81,94657.39,94767.69,2025,10
94600.69,94746.37,94360.65,94726.1,2025,11
94424.26,94696.97,94214.38,94600.7,2025,11
94424.24,94495.9,94180.0,94424.26,2025,11
94206.95,94429.84,94106.49,94424.24,2025,11
94063.29,94316.09,93831.73,94206.96,2025,11
94366.69,94381.08,94013.51,94063.29,2025,11
94216.25,94441.87,94216.25,94366.7,2025,11
94246.36,94333.34,94151.51,94216.26,2025,11
94074.79,94408.34,94031.22,94246.36,2025,11
94329.45,94329.8,94044.82,94074.8,2025,11
94488.86,94528.27,94300.01,94329.46,2025,11
94625.65,94791.67,94455.04,94488.87,2025,11
94550.01,94655.2,94528.01,94625.66,2025,11
94400.01,94606.11,94342.63,94550.0,2025,11
94620.0,94638.44,94307.25,94400.01,2025,11
94410.26,94647.05,94377.57,94620.0,2025,11
94448.14,94708.12,94312.56,94410.26,2025,11
94151.52,94448.14,93984.55,94448.14,2025,11
94275.79,94306.62,94121.0,94151.51,2025,11
94249.26,94327.4,94084.64,94275.79,2025,11
94586.11,94668.31,94200.89,94249.27,2025,11
94940.76,95050.94,94575.75,94586.12,2025,11
94593.8,95005.0,94561.0,94940.75,2025,11
94599.99,94753.37,94541.66,94593.8,2025,11
94452.07,94655.22,94422.13,94599.99,2025,12
94580.0,94589.46,94296.99,94452.08,2025,12
94625.25,94670.0,94480.58,94580.0,2025,12
94622.4,94699.0,94418.56,94625.25,2025,12
94587.99,94650.0,94500.0,94622.4,2025,12
94571.43,94627.8,94500.0,94587.99,2025,12
94381.78,94616.0,94357.14,94571.43,2025,12
94323.85,94441.42,94274.01,94381.78,2025,12
94170.01,94393.57,94109.0,94323.85,2025,12
93906.22,94222.41,93711.19,94170.01,2025,12
94015.16,94056.04,93836.51,93906.21,2025,12
94255.1,94348.64,94015.16,94015.17,2025,12
94328.2,94600.0,94173.48,94255.1,2025,12
94663.78,94730.04,94303.03,94328.21,2025,12
94811.0,94994.49,94663.77,94663.77,2025,12
95071.9,95450.1,94675.54,94811.0,2025,12
95046.76,95131.05,94791.43,95071.91,2025,12
95139.45,95271.56,94984.36,95046.76,2025,12
94992.64,95314.12,94916.0,95139.46,2025,12
94650.26,95055.93,94578.54,94992.65,2025,12
94687.69,94800.0,94612.0,94650.26,2025,12
94352.7,94727.28,94302.9,94687.69,2025,12
93962.91,94362.92,93800.0,94352.7,2025,12
94545.06,94563.82,93946.96,93962.91,2025,12
95325.43,95940.0,94463.32,94545.07,2025,13
94218.01,95400.0,94081.38,95325.43,2025,13
94217.43,94500.0,93899.99,94218.01,2025,13
94269.23,94408.17,93972.54,94217.43,2025,13
94503.34,94913.03,94202.76,94269.23,2025,13
94181.37,94543.28,94045.45,94503.34,2025,13
93637.37,94327.35,93281.0,94181.37,2025,13
93590.24,93947.3,93469.2,93637.38,2025,13
