close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band
102994.37,103061.88,102622.99,102734.30572394676,102784.65,102735.4,102463.52556020682,102360.76699999999,101940.07800000001,100664.79074858365,103215.36525141637
102704.01,103039.99,102704.0,102724.20714929784,102994.37,102820.20199999999,102507.25000380557,102415.23899999999,102009.6015,100726.54836750259,103292.65463249742
103127.08,103490.0,102583.65,102858.4980995319,102704.0,102911.32999999999,102619.94636675,102551.96699999999,102127.9555,100894.50323977611,103361.40776022388
103164.0,103368.19,102978.93,102960.33206635462,103127.08,102954.822,102718.86520915908,102695.15800000001,102232.4215,101020.86249601474,103443.98050398525
103204.0,103358.89,102984.58,103041.55471090309,103164.01,103038.692,102807.07153476651,102814.04299999999,102336.73999999999,101170.91388675856,103502.56611324142
103252.95,103455.0,103178.47,103112.01980726873,103203.99,103090.408,102888.14034662714,102912.90400000001,102428.38749999998,101277.91773312219,103578.85726687778
103144.83,103404.16,103066.67,103122.95653817916,103252.96,103178.572,102934.81119269494,102999.387,102513.508,101419.67300756388,103607.34299243613
102859.06,103197.67,102634.25,103034.99102545278,103144.83,103124.968,102921.03824856858,103018.149,102549.737,101460.77328625345,103638.70071374654
103277.32,103385.8,102621.5,103115.76735030186,102859.05,103147.63200000001,102985.81674882885,103051.22699999998,102622.04550000001,101541.96862956861,103702.1223704314
104463.99,105250.0,103246.07,103565.17490020125,103277.31,103399.63,103254.57552176905,103219.161,102758.554,101479.38384881611,104037.7241511839
105444.95,106648.0,104324.5,104191.76660013417,104463.99,103838.03,103652.82542690195,103464.21900000001,102912.493,101173.70175255439,104651.28424744561
105531.99,105591.58,104979.39,104638.5077334228,105444.95,104315.46200000001,103994.49171291979,103747.017,103081.128,101024.72230739641,105137.53369260358
104585.32,105640.0,104446.28,104620.77848894853,105532.0,104660.714,104101.91503784346,103892.841,103222.40400000001,101159.99210099597,105284.81589900405
104582.28,105000.0,104259.48,104607.94565929903,104585.32,104921.706,104189.2541218719,104034.669,103364.9135,101342.59714906638,105387.22985093361
104686.15,104805.22,104469.89,104634.01377286603,104582.28,104966.13799999999,104279.5988269861,104182.88399999999,103498.4635,101498.80728778678,105498.11971221321
105028.0,105064.0,104482.46,104765.34251524403,104686.15,104882.74799999999,104415.67176753408,104360.389,103636.6465,101614.24569349337,105659.04730650663
105149.98,105373.76,104956.0,104893.5550101627,105028.01,104806.34599999999,104549.18235525514,104560.90400000001,103780.1455,101755.77564865086,105804.51535134914
104992.79,105420.76,104900.0,104926.63334010847,105149.98,104887.84,104629.83829066329,104774.277,103896.213,101873.3076553862,105919.1183446138
104535.44,105016.85,104505.22,104796.23556007232,104992.79,104878.472,104612.67496508814,104900.089,103975.658,101985.24963945958,105966.06636054041
104676.72,104942.48,104500.46,104756.39704004824,104535.44,104876.58599999998,104624.31951689029,104921.36200000001,104070.2615,102139.23029058971,106001.29270941028
104684.99,104722.1,104350.01,104732.5946933655,104676.73,104807.984,104635.35051381933,104845.366,104154.7925,102274.72385145641,106034.86114854358
103757.99,104836.36,103625.78,104407.72646224368,104684.98,104529.586,104475.83042039763,104667.966,104207.49149999999,102443.1210439089,105971.86195609107
103656.02,104145.9,103333.0,104157.1576414958,103758.0,104262.232,104326.77398032532,104575.03600000001,104233.9385,102522.69963298898,105945.17736701103
103908.02,104138.99,103484.51,104074.11176099721,103656.02,104136.748,104250.63689299344,104507.61,104271.1395,102626.794557849,105915.484442151
105487.0,106000.0,103879.25,104545.07450733148,103908.03,104298.804,104475.43018517645,104587.69499999999,104385.2895,102735.89985437549,106034.67914562451
106332.01,106499.99,105253.46,105140.71967155433,105487.01,104628.20800000001,104812.990151508,104718.09599999999,104539.24250000001,102764.81557087178,106313.66942912823
106824.95,107195.58,106140.0,105702.12978103623,106332.0,105241.6,105178.80103305199,104885.593,104723.2485,102800.60145972327,106645.89554027673
107078.55,107195.0,106693.26,106160.93652069083,106824.94,105926.106,105524.20993613344,105094.169,104934.223,102947.914236361,106920.531763639
107078.6,107793.07,106882.47,106466.82434712723,107078.55,106560.222,105806.8263113819,105348.48500000002,105124.28699999998,103078.94334949098,107169.63065050899
