open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
3373.19,3388.97,3366.26,3368.38,10846.6045,36652509.098352,77203,6611.2684,22345464.354569,3377.615,-4.809999999999945
3368.39,3388.0,3365.61,3387.99,7558.7714,25521793.478252,65282,4063.1661,13720818.251979,3376.8050000000003,19.59999999999991
3387.99,3413.0,3382.58,3394.5,12675.9972,43077611.941551,94452,7015.5946,23843155.310831,3397.79,6.510000000000218
3394.5,3398.0,3384.13,3390.88,7774.1753,26365102.866327,50105,3356.0755,11383265.382241,3391.065,-3.619999999999891
3390.89,3402.56,3390.88,3400.87,5155.8654,17512433.602683,32124,2775.007,9425092.657677,3396.7200000000003,9.980000000000018
3400.87,3404.18,3393.03,3400.36,4690.1411,15937424.938933,44923,2093.8513,7115495.292947,3398.605,-0.5099999999997635
3400.36,3405.53,3389.71,3403.89,4686.269,15918843.781433,36336,2129.2199,7233158.353255,3397.62,3.5299999999997453
3403.89,3428.68,3397.86,3410.61,8333.3151,28420626.328896,51994,4810.6436,16409935.309361,3413.27,6.720000000000255
3410.6,3412.86,3397.04,3404.0,6659.7264,22674135.111558,65856,3565.7366,12141849.533281,3404.95,-6.599999999999909
3404.01,3406.6,3386.76,3393.65,6201.7798,21053743.583606,48619,2752.685,9344513.868369,3396.6800000000003,-10.360000000000127
3393.65,3396.28,3375.62,3378.57,6063.9594,20517853.228021,42722,2440.558,8258070.908669,3385.95,-15.079999999999927
3378.57,3393.0,3376.69,3388.16,4559.7138,15437978.184934,29083,2388.4492,8086666.408098,3384.8450000000003,9.58999999999969
3388.17,3389.29,3377.74,3382.98,3933.8939,13307853.436828,31838,1716.944,5808522.410888,3383.515,-5.190000000000055
3382.98,3392.58,3381.26,3388.78,2759.4402,9343641.659984,23711,1468.1686,4971533.541222,3386.92,5.800000000000182
3388.78,3391.4,3384.3,3387.77,2785.6362,9438039.13998,20826,1243.4931,4213078.48965,3387.8500000000004,-1.0100000000002183
3387.76,3398.5,3380.0,3397.38,4841.9727,16415329.757779,36387,2536.8103,8601109.940562,3389.25,9.61999999999989
3397.39,3407.99,3392.8,3407.61,5242.5197,17828776.788252,34749,3019.4113,10270497.419249,3400.395,10.220000000000255
3407.6,3409.81,3393.61,3396.4,7198.7357,24473812.583101,34452,2651.1611,9015359.342696,3401.71,-11.199999999999818
3396.41,3406.5,3390.0,3405.87,5214.4869,17720229.031016,32262,2415.2228,8210277.650807,3398.25,9.460000000000036
3405.88,3413.78,3402.16,3404.5,5206.656,17742678.875597,32746,2486.2494,8473064.242092,3407.9700000000003,-1.3800000000001091
3404.5,3407.92,3397.84,3398.36,3993.9333,13594875.624235,31296,1672.2689,5692401.776131,3402.88,-6.139999999999873
3398.37,3404.5,3390.79,3391.8,4345.7263,14758000.144637,50251,1779.0503,6042180.08173,3397.645,-6.569999999999709
3391.79,3400.0,3387.57,3399.39,5249.7391,17824424.974253,39737,2991.1455,10157185.221738,3393.785,7.599999999999909
3399.38,3410.92,3354.68,3370.12,20734.7508,70011085.221059,126116,9583.5719,32355581.977243,3382.8,-29.26000000000022
3370.12,3383.26,3364.35,3373.82,5315.0307,17931108.91154,63554,2976.1734,10040997.616876,3373.8050000000003,3.700000000000273
3373.82,3376.21,3345.9,3356.38,10681.1011,35837319.62148,73548,4788.1297,16065870.868229,3361.0550000000003,-17.440000000000055
3356.39,3365.06,3348.38,3361.08,4813.2133,16159737.811344,53219,2295.6751,7708197.300553,3356.7200000000003,4.690000000000055
3361.08,3369.74,3350.7,3361.91,5297.6191,17802792.081901,46730,2951.1629,9918384.562449,3360.22,0.8299999999999272
3361.92,3369.65,3357.09,3362.6,4382.8382,14739854.409571,34316,2244.8381,7550188.384317,3363.37,0.6799999999998363
