close,high,low,ema_5,open,ma_5,ema_10,ma_10,ma_20,lower_band,upper_band,rsi_14,taker_buy_quote_asset_volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume
101424.25,101529.42,101139.88,101350.4716697036,101227.28,101419.50200000001,101177.87429332704,101221.06,100684.9125,99323.19674241406,102046.62825758595,62.22252988138138,42187051.8150405,85462153.9234849,102712,416.44161
101301.07,101519.42,101148.35,101334.00444646907,101424.24,101387.248,101200.27351272211,101249.35500000001,100749.943,99401.69836402095,102098.18763597905,58.136995182134676,21097813.108319,47446351.1022883,122426,208.18438
102145.28,102650.0,101301.07,101604.42963097939,101301.07,101480.30399999999,101372.09287404535,101476.56700000001,100862.707,99441.99360773838,102283.42039226161,65.12729685601663,151377659.9328751,258295885.2867928,521229,1482.1235
102032.61,102279.43,101668.45,101747.15642065293,102145.28,101626.098,101492.1868969462,101581.027,100979.3375,99577.66495997207,102381.01004002792,64.48330970656744,34781891.5891757,71241146.636548,248042,341.24506
102088.0,102344.0,102022.39,101860.77094710196,102032.61,101798.242,101600.51655204687,101616.038,101077.2375,99652.02628980033,102502.44871019968,64.97597898304815,19091977.1265166,41576466.1507442,115886,186.866
101681.81,102138.0,101590.9,101801.11729806798,102088.0,101849.754,101615.29717894744,101634.628,101147.728,99751.03638392108,102544.41961607893,55.82774141541913,26323878.3732091,64835506.0485506,162911,258.62405
101722.8,101816.71,101632.0,101775.01153204532,101681.82,101934.1,101634.84314641154,101660.674,101228.86799999999,99901.63499894146,102556.10100105852,70.14744262850076,20407781.4644737,44736022.2050854,95720,200.59353
101906.05,102000.0,101690.37,101818.69102136356,101722.79,101886.254,101684.15348342762,101683.27900000001,101301.2895,99993.32162287197,102609.25737712803,62.54612344407865,28258518.3168167,58299725.2075609,79010,277.28692
101824.0,101923.99,101596.43,101820.46068090905,101906.06,101844.532,101709.58012280441,101735.31499999999,101374.821,100127.27670865848,102622.36529134151,51.43956694293156,37743097.5126093,71904320.6507242,72396,371.00159
101803.03,101863.64,101578.58,101814.65045393936,101824.0,101787.53800000002,101726.57100956724,101792.89,101449.98,100297.63092132825,102602.32907867174,55.54404257313543,12172489.5375654,32557688.4668627,66785,119.63749
101551.28,101803.04,101478.05,101726.86030262626,101803.04,101761.432,101694.69991691865,101805.59300000001,101513.3265,100499.85121713423,102526.80178286576,51.48828647922625,11725299.2255936,33254876.7406585,74707,115.38746
101550.58,101602.31,101321.0,101668.10020175084,101551.29,101726.988,101668.4962956607,101830.544,101539.9495,100553.63681650667,102526.26218349334,47.66477567986509,17284488.3753132,37685949.0717804,88108,170.32838
101583.99,101697.5,101464.92,101640.06346783391,101550.59,101662.576,101653.13151463147,101774.415,101625.49100000001,101027.55318690198,102223.42881309804,55.773056188165285,13513849.6750788,23103301.9410014,62932,133.00774
101297.96,101647.06,101241.26,101526.02897855594,101584.0,101557.368,101588.55487560757,101700.95,101640.9885,101099.18705743153,102182.78994256849,51.33977314081969,30369696.7948262,59910207.0232692,127470,299.4335
101170.05,101411.63,100826.38,101407.3693190373,101297.96,101430.77200000001,101512.46308004255,101609.155,101612.59650000001,101033.91781052414,102191.27518947588,45.05197181451204,59208943.5191264,123367805.0451225,233121,585.63795
101434.3,101536.0,101163.64,101416.34621269154,101170.04,101407.376,101498.2516109439,101584.40400000001,101609.516,101027.57514844256,102191.45685155745,52.45832672142889,25636186.2286469,53352869.9485002,131845,252.79822
101625.12,101742.43,101342.71,101485.93747512769,101434.3,101422.284,101521.31859077227,101574.636,101617.655,101039.8424592279,102195.4675407721,37.352532119524405,20948614.7049583,40720033.1705995,108532,206.2214
101650.76,101650.77,101420.01,101540.8783167518,101625.12,101435.638,101544.85339245002,101549.107,101616.193,101038.89692136786,102193.48907863213,40.30517683496754,19228060.0740861,41918947.2263586,146697,189.38623
100988.0,101737.7,100860.0,101356.5855445012,101650.77,101373.646,101443.60732109546,101465.50700000001,101600.411,100972.131518378,102228.69048162199,28.655034307165664,28141359.3398196,80778796.7907312,154942,277.94087
100895.98,101175.75,100831.63,101203.0503630008,100988.01,101318.832,101344.03871725991,101374.802,101583.84599999999,100899.20240244005,102268.48959755994,32.63397493976012,31000643.3006058,66641826.7611278,206414,306.92885
101313.54,101411.77,100872.38,101239.88024200054,100895.99,101294.68000000001,101338.49349593993,101351.028,101578.31049999999,100886.48124213293,102270.13975786706,42.24627906269527,20556300.5387429,44807569.8685552,141685,203.19861
100760.0,101409.92,100609.41,101079.92016133369,101313.54,101121.656,101233.31286031447,101271.97,101551.25700000001,100776.4410799914,102326.07292000862,30.958892274550934,17095931.6224057,53321707.1269673,142681,169.31897
101074.68,101187.03,100760.0,101078.17344088914,100760.0,101006.43999999999,101204.47052207548,101221.03899999999,101497.727,100748.19146432063,102247.26253567937,38.443695944511965,13996726.6358903,30374899.5075099,130683,138.5182
101117.63,101259.25,100895.53,101091.32562725943,101074.68,101032.366,101188.68133624356,101203.006,101451.978,100728.669635663,102175.28636433701,39.50067707916768,12405176.2656431,29533857.1433818,66548,122.70645
101420.0,101499.08,101045.45,101200.8837515063,101117.64,101137.17,101230.73927510837,101228.001,101418.57800000001,100760.14787180921,102077.0081281908,48.01969444643545,17615470.8771921,31928607.9255986,73768,173.87141
101442.42,101558.83,101237.14,101281.39583433754,101420.0,101162.946,101269.2266796341,101228.813,101406.6085,100759.72437523374,102053.49262476627,48.3790718027827,17489486.0695279,31821967.9625463,90291,172.45487
102134.48,102196.97,101424.01,101565.7572228917,101442.41,101437.84199999999,101426.54546515517,101279.749,101427.1925,100715.03840352126,102139.34659647875,56.88971992558718,118011852.7297521,148552826.7366279,169708,1158.89112
101831.15,102155.28,101775.88,101654.2214819278,102134.48,101589.13600000001,101500.10992603605,101297.788,101423.4475,100721.17703517676,102125.71796482323,56.64442677657514,49992151.9844582,74248268.618911,109789,490.38163
101733.82,101931.73,101722.31,101680.7543212852,101831.16,101712.374,101542.60266675676,101372.37,101418.9385,100726.406115919,102111.470884081,57.07946043551936,9534840.248791,22025179.8335228,80811,93.6409
102366.17,102850.0,101733.82,101909.22621419013,101733.83,101901.60800000001,101692.3421818919,101519.389,101447.0955,100650.79218031195,102243.39881968804,60.71156803827166,108913010.3144575,183308143.98662472,263775,1062.94569
102159.29,102511.81,102107.92,101992.5808094601,102366.17,102044.98199999999,101777.24178518428,101603.96399999999,101477.496,100620.34614166847,102334.64585833153,56.11753846293002,24891281.31949,49677047.039317,118362,243.185
101759.8,102169.9,101759.8,101914.98720630675,102159.29,101970.046,101774.07055151439,101703.94399999999,101487.957,100621.99011656617,102353.92388343382,51.15027406565105,17759581.5032023,42570715.4783254,84868,174.13162
101732.09,101941.18,101534.01,101854.02147087117,101759.81,101950.234,101766.43772396632,101769.685,101495.362,100623.42520131024,102367.29879868975,59.06390007525962,18729164.435385,40664507.814314,131861,184.07153
102015.15,102015.16,101581.07,101907.73098058079,101732.09,102006.49999999999,101811.65813779061,101859.437,101531.2215,100634.81999223285,102427.62300776715,63.0265403086116,22480108.5583376,44273021.2499873,106043,220.75894
102264.34,102270.95,101919.6,102026.60065372052,102015.15,101986.13399999999,101893.96393091959,101943.871,101585.936,100649.65682972525,102522.21517027475,61.51825864473037,20397599.973968,36962634.7736011,95630,199.75797
102280.0,102450.22,102147.58,102111.06710248036,102264.34,102010.276,101964.15230711602,102027.62899999999,101628.22099999999,100645.53834657469,102610.9036534253,71.17298327331557,21061899.5567329,39959802.2053569,85248,205.88647
102671.44,102691.01,102228.01,102297.85806832026,102280.01,102192.604,102092.75006945856,102081.325,101680.537,100592.76122240617,102768.31277759382,71.77653399665603,36818474.2646924,62839380.0108367,92966,359.24093
102946.54,103359.97,102533.33,102514.08537888018,102671.44,102435.49399999999,102247.98460228427,102192.86399999999,101745.326,100519.430725699,102971.221274301,73.45724773557733,132004734.0809322,237651925.44719556,284170,1282.01445
102784.65,102987.43,102473.01,102604.27358592013,102946.55,102589.394,102345.56012914167,102297.947,101835.15849999999,100579.96755562839,103090.34944437159,68.15703409605466,49852473.2699983,94218504.0731732,167702,485.34628
102994.37,103061.88,102622.99,102734.30572394676,102784.65,102735.4,102463.52556020682,102360.76699999999,101940.07800000001,100664.79074858365,103215.36525141637,69.66878822671106,39932090.1565808,101684643.770422,156248,388.19025
102704.01,103039.99,102704.0,102724.20714929784,102994.37,102820.20199999999,102507.25000380557,102415.23899999999,102009.6015,100726.54836750259,103292.65463249742,58.036240902359204,36171713.0714259,72435452.3399817,124570,351.5777
103127.08,103490.0,102583.65,102858.4980995319,102704.0,102911.32999999999,102619.94636675,102551.96699999999,102127.9555,100894.50323977611,103361.40776022388,67.68825496482792,61337429.7890923,112655562.8824417,199728,594.65455
103164.0,103368.19,102978.93,102960.33206635462,103127.08,102954.822,102718.86520915908,102695.15800000001,102232.4215,101020.86249601474,103443.98050398525,69.84795328127309,27097311.1871811,50894263.2835116,117587,262.72031
103204.0,103358.89,102984.58,103041.55471090309,103164.01,103038.692,102807.07153476651,102814.04299999999,102336.73999999999,101170.91388675856,103502.56611324142,63.91517659912856,20491735.6136652,39366997.8857842,88268,198.60726
103252.95,103455.0,103178.47,103112.01980726873,103203.99,103090.408,102888.14034662714,102912.90400000001,102428.38749999998,101277.91773312219,103578.85726687778,69.16979835653007,25864057.6888866,49038507.8854562,82686,250.30984
103144.83,103404.16,103066.67,103122.95653817916,103252.96,103178.572,102934.81119269494,102999.387,102513.508,101419.67300756388,103607.34299243613,77.03879837102754,20257484.53638,43502469.6719384,76996,196.28442
102859.06,103197.67,102634.25,103034.99102545278,103144.83,103124.968,102921.03824856858,103018.149,102549.737,101460.77328625345,103638.70071374654,69.98705329428113,30425236.4040846,75468583.2807682,179016,295.75667
103277.32,103385.8,102621.5,103115.76735030186,102859.05,103147.63200000001,102985.81674882885,103051.22699999998,102622.04550000001,101541.96862956861,103702.1223704314,71.36049010810827,44573051.4831426,77561535.6153269,140376,432.35586
104463.99,105250.0,103246.07,103565.17490020125,103277.31,103399.63,103254.57552176905,103219.161,102758.554,101479.38384881611,104037.7241511839,78.2591156572422,351524680.059933,559080961.9898205,592110,3365.730095
105444.95,106648.0,104324.5,104191.76660013417,104463.99,103838.03,103652.82542690195,103464.21900000001,102912.493,101173.70175255439,104651.28424744561,82.57978312739655,251126208.4739936,469323806.3990145,665067,2375.598176
105531.99,105591.58,104979.39,104638.5077334228,105444.95,104315.46200000001,103994.49171291979,103747.017,103081.128,101024.72230739641,105137.53369260358,81.41507589782313,83843760.9721153,154795862.3046969,315847,796.03116
104585.32,105640.0,104446.28,104620.77848894853,105532.0,104660.714,104101.91503784346,103892.841,103222.40400000001,101159.99210099597,105284.81589900405,65.68390628587179,79390105.9320008,180418056.8558288,314208,756.82963
104582.28,105000.0,104259.48,104607.94565929903,104585.32,104921.706,104189.2541218719,104034.669,103364.9135,101342.59714906638,105387.22985093361,67.74368035058484,61703555.4161292,122995782.4353562,286032,589.40529
