open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,average_price,price_change
94526.07,94674.5,94200.0,94437.75,459.69514,43422556.3250446,98780,188.3623,17791969.7903376,94437.25,-88.32000000000698
94437.75,94526.09,94100.6,94299.03,697.6842,65806775.6544268,122444,271.00395,25569407.7085125,94313.345,-138.72000000000116
94299.03,94544.35,94243.32,94398.75,435.25082,41083196.3364916,155242,204.23228,19277039.9538107,94393.835,99.72000000000116
94398.75,94615.24,94135.66,94556.93,377.17171,35588219.5533841,150451,169.52263,15994393.0034524,94375.45000000001,158.17999999999302
94556.92,94619.0,94276.01,94338.0,288.78768,27289454.8965518,87638,123.15718,11639543.4229997,94447.505,-218.91999999999825
94338.0,94720.0,94335.88,94594.91,240.31584,22730123.2413512,75817,133.64638,12640895.2270553,94527.94,256.9100000000035
94594.91,94643.87,94511.71,94524.0,185.04174,17500867.0622999,54946,72.79028,6884526.2209535,94577.79000000001,-70.91000000000349
94524.0,94800.0,94523.99,94625.64,245.8186,23274414.9900197,72754,132.09669,12506925.9438474,94661.995,101.63999999999942
94625.64,94724.88,94405.28,94466.49,304.41114,28776873.4811048,95786,158.51061,14984389.7600802,94565.08,-159.14999999999418
94466.49,94634.25,94307.0,94381.99,235.91255,22286925.8086894,78972,128.71972,12159468.1616866,94470.625,-84.5
94381.98,94539.43,94312.67,94488.01,189.15654,17863434.3055329,67297,106.47972,10055355.5876976,94426.04999999999,106.02999999999884
94488.01,94692.3,94488.01,94589.27,281.34727,26619533.6261497,62343,143.6681,13592022.4551195,94590.155,101.26000000000931
94589.28,94716.06,94502.21,94619.99,276.54014,26170047.6502861,82217,123.40107,11678160.0975362,94609.13500000001,30.710000000006403
94620.0,94883.0,94600.0,94754.83,316.63364,29986805.8055762,87534,149.65101,14173415.1408057,94741.5,134.83000000000175
94754.83,94880.0,94577.66,94599.57,294.25135,27868357.6837418,99642,137.74859,13047247.5518246,94728.83,-155.25999999999476
94599.56,94761.33,94496.73,94665.94,394.23476,37313307.7146443,114847,202.34354,19152651.8720393,94629.03,66.38000000000466
94665.29,95340.36,94411.76,94583.99,905.83186,85951563.9620184,275373,487.08205,46233326.7987456,94876.06,-81.29999999998836
94583.99,94819.57,94375.8,94447.29,418.82501,39622861.1367386,158949,209.22889,19796019.2276406,94597.685,-136.70000000001164
94447.28,94923.06,94389.45,94874.89,556.98186,52688995.864883,154651,238.56145,22575515.96494,94656.255,427.6100000000006
94874.89,95245.24,94810.51,95022.57,570.88991,54270172.0188126,211460,278.21934,26450511.6871497,95027.875,147.68000000000757
95022.58,95100.0,94715.16,94837.31,305.64776,29016681.8250968,106075,156.49634,14858754.7075228,94907.58,-185.27000000000407
94837.31,95138.05,94837.3,95027.76,265.45992,25221704.1648393,95770,152.39715,14478879.7013155,94987.675,190.4499999999971
95027.75,95151.13,94878.26,95083.05,193.31417,18359960.4016244,90750,104.56557,9930792.2640962,95014.695,55.30000000000291
95083.05,95223.72,94968.86,95171.67,208.89259,19857812.9875742,70843,104.51625,9935739.6991134,95096.29000000001,88.61999999999534
95171.67,95733.99,95047.11,95326.4,556.46419,53037506.5668207,135253,322.29991,30720369.7967407,95390.55,154.72999999999593
95326.4,95408.9,95112.43,95300.0,338.71185,32272803.750724,147451,164.26401,15650397.8819938,95260.665,-26.39999999999418
95300.0,95340.0,95042.6,95148.49,283.78071,27008777.9938751,113146,137.05598,13043134.8606888,95191.3,-151.50999999999476
95148.49,95210.22,94808.0,94857.65,316.3733,30047223.3631992,89106,112.13886,10650363.5371758,95009.11,-290.84000000001106
94857.66,95211.88,94851.25,95154.5,237.18289,22550830.8101549,67124,114.24323,10861653.8413502,95031.565,296.8399999999965
95154.5,95221.69,94978.33,95172.4,215.77474,20520179.7786793,55923,94.77394,9013171.6791454,95100.01000000001,17.89999999999418
95172.41,95283.99,95063.4,95126.39,211.832,20154519.375921,38912,56.96338,5419975.0373257,95173.695,-46.020000000004075
95126.39,95199.97,95071.21,95118.89,135.90901,12928520.0723356,30402,53.52094,5091123.5463841,95135.59,-7.5
95118.89,95212.0,94971.44,95181.7,270.97676,25772804.3233653,48500,99.92051,9503883.6739695,95091.72,62.80999999999767
95181.7,95272.05,95076.68,95272.04,257.21309,24481189.7026795,49759,122.07508,11619149.8313412,95174.36499999999,90.33999999999651
95272.05,95315.5,95078.5,95123.33,184.58621,17564766.5646379,50386,89.47996,8514501.5807691,95197.0,-148.72000000000116
